sé	I know
irnos	we go
for	for
prisión	prison
reagan	reagan
seré	I will be
verlo	he see it
prueba	he tests
quieras	you want
decirte	tell you
grupo	group
sucede	he happens
recuerda	he remembers
llamado	called
dile	tell him
doy	I give
viste	I saw
basura	garbage
encima	over
solicito	he requested
know	know
vemos	we see
ley	law
quiera	he wants
gustan	they like
bienvenida	he welcome
intento	attempt
oiga	he hears
coronel	colonel
malos	bad
yes	yes
aéreo	air
duda	question
preocupación	concern
pena	penalty
trampa	trap
verte	see you at
baño	bathroom
decirle	he tell you
prisa	hurry
perder	lose
espada	sword
eras	eras
escapar	escape
respuesta	reply
tratando	by visiting
iré	I will go
evitar	avoid
personal	staff
vienen	they come
do	do
robots	robots
hubie	hubie
galaxar	galaxar
alegra	he cheers
quédate	he stays
normal	normal
martín	martin
tenías	we had
venido	come
estará	he will be
ambos	both
segura	secure
agente	agent
seguramente	most likely
preguntó	he asked
maldición	curse
pedir	order
cumpleaños	birthday
robar	steal
incluso	including
súper	super
brazos	arms
acabo	I just
irme	me to go
detrás	behind
sientes	you feel
ojalá	hopefully
don	don
vayas	you go
teléfono	phone
oficina	office
mitad	half
diría	he would say
pelea	fight
imbécil	imbecile
negra	black
pavo	turkey
lobo	wolf
trata	he tries
órdenes	orders
piernas	legs
deberías	you should
acaba	he finishes
señores	Messrs.
bolsa	bag
alma	soul
sale	he leaves
roca	rock
estábamos	we were
suelo	ground
vayan	they go
inmediato	immediate
sentir	feel
carta	letter
serás	you will be
bomba	pump
abre	he opens
toca	he touches
boda	wedding
subir	up
vista	see
correcto	correct
entiendes	you understand
líder	leader
pieza	part
valiente	brave
golpe	stroke
modo	mode
dado	given
existe	he exists
puedas	I can
par	par
noticia	news
canción	song
gato	cat
darle	he give you
ejército	army
debajo	under
propia	own
gobierno	government
batalla	battle
cabo	cape
they	they
corran	they run
profundo	deep
nick	nick
sexual	sexual
película	film
grillo	cricket
viento	wind
posición	position
trono	throne
habría	he would have
vio	he saw
don't	don't
gracioso	funny
algunas	some
decisión	decision
escuela	school
muévete	move over
orcos	orcs
